Geography,Views,Average view duration,Watch time (hours)
Total,12170978,0:03:05,626923.2823
IN,3190180,0:01:53,100887.2259
US,2204092,0:04:03,149228.0248
GB,434350,0:03:37,26289.3889
CA,376269,0:03:42,23254.0882
DE,318350,0:03:33,18881.0136
ID,267963,0:02:36,11651.5774
PH,254697,0:03:12,13648.8765
AU,211633,0:03:41,13035.0428
PK,201570,0:02:10,7317.836
BR,192415,0:03:31,11296.5917
MY,159853,0:03:01,8043.9433
NG,155099,0:04:03,10475.799
SG,152557,0:03:14,8224.0907
BD,150127,0:02:15,5635.1753
MX,130549,0:03:56,8594.2263
FR,129030,0:03:15,7012.8083
PL,126229,0:03:19,6979.2326
ZA,125037,0:03:53,8098.7245
ES,113945,0:03:24,6460.713
NL,113615,0:03:37,6872.1942
IT,106855,0:03:08,5582.0602
AE,103310,0:02:51,4911.8902
VN,101248,0:02:58,5027.3882
EG,94138,0:03:15,5114.5461
TR,88895,0:02:59,4426.3234
TH,88038,0:03:06,4552.2036
RU,86039,0:02:49,4060.3313
SA,79865,0:03:15,4331.0637
KE,71150,0:03:58,4712.6249
AR,69718,0:03:51,4475.5562
MA,66406,0:03:05,3421.3642
NP,63127,0:02:12,2330.9322
HK,62449,0:03:15,3399.5587
JP,60438,0:03:11,3219.2251
CO,60109,0:03:51,3858.7173
SE,59469,0:03:46,3742.9935
LK,59209,0:02:12,2178.0745
PT,55587,0:03:43,3453.9172
KR,51519,0:02:27,2112.2578
TW,50265,0:03:03,2557.0195
GR,48726,0:03:22,2742.4291
IL,42887,0:03:14,2318.9846
RO,42570,0:03:16,2324.3448
CL,42039,0:03:48,2672.3257
IE,41831,0:03:47,2647.9054
CH,41585,0:03:45,2603.8433
PE,38164,0:03:53,2474.2765
BE,37598,0:03:33,2232.1339
GH,36178,0:04:07,2483.7241
NZ,35185,0:03:45,2199.9395
UA,35063,0:03:01,1768.1397
DK,32240,0:03:48,2048.9427
AT,29772,0:03:39,1815.4341
NO,29201,0:03:53,1892.9639
CZ,28820,0:03:38,1751.4573
DZ,28394,0:03:05,1459.1451
HU,28100,0:03:29,1633.8395
FI,26480,0:03:52,1711.1062
RS,22802,0:03:18,1257.8289
TN,19754,0:03:09,1037.6083
ET,19385,0:02:49,912.4085
QA,17382,0:02:47,809.3941
BG,16238,0:03:30,948.2542
CN,14272,0:03:36,857.079
CR,13853,0:04:19,1000.3142
HR,12718,0:03:31,748.3247
LT,12285,0:03:45,770.496
DO,11992,0:04:02,806.6541
KZ,11553,0:03:22,649.315
SO,11023,0:02:33,469.1683
MM,10875,0:02:36,471.566
SK,10680,0:03:20,595.3328
IQ,9999,0:02:46,461.804
KW,9936,0:03:00,496.8222
EC,9912,0:03:46,624.4362
KH,9590,0:02:49,451.5871
JM,9515,0:04:10,661.4757
JO,9030,0:03:10,477.5539
LB,9003,0:03:26,515.7938
UG,8911,0:03:59,593.1003
AZ,8752,0:02:53,421.3726
OM,8695,0:02:32,369.5012
TT,8132,0:03:44,507.585
GE,6604,0:03:23,373.057
ZW,6446,0:03:58,427.5399
UZ,6338,0:02:44,290.0008
CM,6078,0:03:41,374.2997
VE,6073,0:04:21,441.1649
GT,5975,0:04:00,398.7269
MU,5883,0:02:24,236.3667
PA,5601,0:04:16,398.6883
TZ,5359,0:03:22,301.0375
BH,5171,0:02:40,230.0382
SI,5065,0:03:16,276.8601
SD,5040,0:03:27,290.4987
BO,4725,0:03:56,310.7617
ZM,4517,0:03:55,295.029
LV,4492,0:03:46,282.2924
CY,4472,0:03:37,270.3176
PR,4398,0:04:05,300.3237
EE,4337,0:03:46,272.5391
BA,4110,0:03:03,209.9061
BY,3974,0:02:56,195.1243
UY,3703,0:03:47,233.9219
MK,3638,0:03:29,211.826
IR,2859,0:02:49,134.9042
AL,2789,0:02:28,114.8843
BW,2686,0:03:48,170.6096
MN,2594,0:02:36,112.7475
SV,2027,0:04:14,143.2292
RW,1934,0:03:44,120.4006
NA,1719,0:04:01,115.2766
HN,1495,0:03:54,97.224
SN,1456,0:03:06,75.2545
PY,1388,0:03:32,82.0983
LU,1353,0:03:27,78.0674
SY,1257,0:02:54,60.7869
BN,1180,0:02:41,52.8582
AM,1121,0:02:54,54.3131
CI,1060,0:03:08,55.3612
MT,944,0:03:39,57.4443
MZ,922,0:04:03,62.3198
NI,881,0:04:16,62.7468
MD,861,0:02:55,42.0887
LY,728,0:03:35,43.6405
MV,700,0:02:27,28.6537
PS,656,0:02:24,26.3179
IS,552,0:03:17,30.311
YE,550,0:03:05,28.414
KG,440,0:03:20,24.459
AO,436,0:04:28,32.5251
BB,429,0:04:24,31.5008
AF,400,0:02:12,14.7075
MO,321,0:03:26,18.3997
BS,287,0:03:40,17.5762
MW,285,0:04:02,19.2154
SL,281,0:03:58,18.6413
GY,261,0:03:46,16.4035
CD,207,0:03:14,11.1726
TG,202,0:03:34,12.0335
ME,198,0:03:42,12.2303
HT,181,0:03:14,9.7964
FJ,175,0:02:58,8.6736
GM,119,0:04:24,8.7383
GU,89,0:04:50,7.1788
LC,89,0:05:43,8.4811
BT,77,0:02:03,2.6463
SR,71,0:03:29,4.1407
ML,62,0:03:52,4.0025
PG,58,0:04:10,4.0393
MR,55,0:01:04,0.9891
SZ,41,0:03:55,2.677
TJ,40,0:01:59,1.3255
LS,38,0:03:48,2.409
LA,37,0:02:43,1.6791
VI,33,0:02:11,1.2018
AG,32,0:02:57,1.5744
MG,24,0:02:44,1.0949
GA,21,0:03:50,1.3448
CW,20,0:05:28,1.8255
KY,15,0:10:18,2.5775
VU,14,0:00:01,0.0047
EH,13,0:04:02,0.8765
VC,13,0:02:58,0.6463
GN,12,0:06:01,1.2046
RE,12,0:03:51,0.7708
SS,12,0:05:18,1.0615
GP,11,0:04:07,0.7573
MP,11,0:06:23,1.1706
BF,10,0:05:34,0.93
BJ,10,0:03:13,0.5369
DJ,10,0:00:41,0.1158
GD,10,0:01:28,0.2458
LR,10,0:04:07,0.6873
AD,0,,0
AI,0,,0
AW,0,,0
BI,0,,0
BQ,0,,0
BZ,0,,0
CG,0,,0
CU,0,,0
CV,0,,0
DM,0,,0
GF,0,,0
GG,0,,0
GI,0,,0
GQ,0,,0
IM,0,,0
